PeriodEnd,PeriodStart,Period,AirTemp,Azimuth,CloudOpacity,DewpointTemp,Dhi,Dni,Ebh,Ghi,GtiFixedTilt,GtiTracking,PrecipitableWater,RelativeHumidity,SnowWater,SurfacePressure,WindDirection10m,WindSpeed10m,Zenith,AlbedoDaily
2021-06-30T00:30:00Z,2021-06-30T00:15:00Z,PT15M,38.7,78,51.1,10.1,177,0,0,177,168,177,30.6,17.9,0.0,958.7,16,2.5,64,0.27
2021-06-30T00:45:00Z,2021-06-30T00:30:00Z,PT15M,38.7,76,60.6,10.0,122,0,0,122,116,122,30.8,17.9,0.0,958.8,17,2.9,67,0.27
2021-06-30T01:00:00Z,2021-06-30T00:45:00Z,PT15M,38.6,75,71.1,10.0,75,0,0,75,71,75,30.9,17.8,0.0,958.8,18,3.3,70,0.27
2021-06-30T01:15:00Z,2021-06-30T01:00:00Z,PT15M,38.4,73,76.1,9.9,49,0,0,49,47,49,31.1,18.0,0.0,958.9,24,3.7,73,0.27
2021-06-30T01:30:00Z,2021-06-30T01:15:00Z,PT15M,38.1,71,80.9,10.0,30,0,0,30,29,30,31.2,18.3,0.0,959.0,32,4.2,76,0.27
2021-06-30T01:45:00Z,2021-06-30T01:30:00Z,PT15M,37.8,69,84.0,10.0,19,0,0,19,18,19,31.2,18.7,0.0,959.1,39,4.7,79,0.27
2021-06-30T02:00:00Z,2021-06-30T01:45:00Z,PT15M,37.5,67,88.4,10.0,9,0,0,9,8,9,31.3,19.0,0.0,959.1,44,5.2,82,0.27
2021-06-30T02:15:00Z,2021-06-30T02:00:00Z,PT15M,37.1,66,85.4,10.0,6,1,0,6,5,6,31.4,19.4,0.0,959.2,48,5.5,85,0.27
2021-06-30T02:30:00Z,2021-06-30T02:15:00Z,PT15M,36.6,64,23.6,9.9,11,13,1,12,10,11,31.4,19.9,0.0,959.3,52,5.5,88,0.27
2021-06-30T02:45:00Z,2021-06-30T02:30:00Z,PT15M,36.0,62,41.2,9.8,1,0,0,1,1,1,31.4,20.4,0.0,959.3,55,5.5,90,0.27
2021-06-30T03:00:00Z,2021-06-30T02:45:00Z,PT15M,35.5,60,34.3,9.7,0,0,0,0,0,0,31.5,20.9,0.0,959.4,59,5.5,93,0.27
2021-06-30T03:15:00Z,2021-06-30T03:00:00Z,PT15M,35.0,57,49.2,9.7,0,0,0,0,0,0,31.4,21.4,0.0,959.5,61,5.4,96,0.27
2021-06-30T03:30:00Z,2021-06-30T03:15:00Z,PT15M,34.7,55,47.6,9.8,0,0,0,0,0,0,31.3,21.9,0.0,959.7,62,5.3,98,0.27
