PeriodEnd,PeriodStart,Period,AirTemp,Azimuth,CloudOpacity,DewpointTemp,Dhi,Dni,Ebh,Ghi,GtiFixedTilt,GtiTracking,PrecipitableWater,RelativeHumidity,SnowWater,SurfacePressure,WindDirection10m,WindSpeed10m,Zenith,AlbedoDaily
2021-06-30T01:00:00Z,2021-06-30T00:30:00Z,PT30M,38.6,76,65.9,10.0,98,0,0,98,93,98,30.9,17.9,0.0,958.8,18,3.1,68,0.27
2021-06-30T01:30:00Z,2021-06-30T01:00:00Z,PT30M,38.3,72,78.5,9.9,40,0,0,40,38,40,31.1,18.2,0.0,958.9,28,3.9,74,0.27
2021-06-30T02:00:00Z,2021-06-30T01:30:00Z,PT30M,37.7,68,86.2,10.0,14,0,0,14,13,14,31.3,18.8,0.0,959.1,41,4.9,80,0.27
2021-06-30T02:30:00Z,2021-06-30T02:00:00Z,PT30M,36.8,65,54.5,9.9,8,7,1,9,8,8,31.4,19.7,0.0,959.2,50,5.5,86,0.27
2021-06-30T03:00:00Z,2021-06-30T02:30:00Z,PT30M,35.8,61,37.7,9.8,1,0,0,1,1,1,31.4,20.6,0.0,959.4,57,5.5,92,0.27
2021-06-30T03:30:00Z,2021-06-30T03:00:00Z,PT30M,34.9,56,48.4,9.8,0,0,0,0,0,0,31.4,21.6,0.0,959.6,61,5.4,97,0.27
2021-06-30T04:00:00Z,2021-06-30T03:30:00Z,PT30M,34.1,51,85.2,9.9,0,0,0,0,0,0,31.1,22.7,0.0,960.1,63,5.1,102,0.27
2021-06-30T04:30:00Z,2021-06-30T04:00:00Z,PT30M,33.6,46,64.6,9.9,0,0,0,0,0,0,31.1,23.5,0.0,960.5,64,4.8,107,0.27
2021-06-30T05:00:00Z,2021-06-30T04:30:00Z,PT30M,33.1,41,62.2,9.8,0,0,0,0,0,0,31.4,23.9,0.0,960.9,66,4.3,111,0.27
2021-06-30T05:30:00Z,2021-06-30T05:00:00Z,PT30M,32.5,34,28.8,10.0,0,0,0,0,0,0,32.1,25.1,0.0,961.3,68,3.2,115,0.27
2021-06-30T06:00:00Z,2021-06-30T05:30:00Z,PT30M,31.8,28,25.0,10.5,0,0,0,0,0,0,33.2,27.0,0.0,961.7,70,1.3,118,0.27
