,DaysToBloom,MedianLeafAngle,LeafAngleSDV,PoorStand?,PaniclesPerPlot,PanicleGrainWeight,EstimatedPlotYield,FlagLeafLength,FlagLeafWidth,ExtantLeafNumber,PlantHeight,ThirdLeafLength,ThirdLeafWidth,TillersPerPlant,StemDiameterLower,StemDiameterUpper,RachisLength,RachisDiameterLower,RachisDiameterUpper,PrimaryBranchNo,BranchInternodeLength
PI_564163,64.0,48.0,8.9,N,15.0,34.6,519.0,32.7,4.3,15.0,103.0,67.0,6.5,0.33,22.43,10.9,25.2,6.56,2.72,54.0,2.07
PI_656071,72.0,50.6,8.72,N,11.0,47.5,522.5,43.0,6.6,15.0,110.0,60.0,7.8,0.67,25.42,11.66,8.37,9.01,5.37,54.33,1.53
PI_534155,67.0,31.0,2.15,N,15.0,21.1,316.5,46.0,6.6,13.0,88.0,64.5,8.8,0.0,23.06,10.86,23.33,8.2,2.55,46.0,2.17
PI_655999,68.0,20.5,3.06,N,26.0,0.6000000000000001,15.6,31.0,3.1,10.0,190.0,65.0,4.2,1.67,9.07,4.3,16.5,2.6,1.2,34.0,2.2
PI_656089,62.0,43.0,1.88,N,16.0,19.4,310.4,26.5,3.1,12.0,120.0,52.0,6.5,0.0,16.34,6.68,5.5,4.72,2.78,75.33,0.83
PI_564163,64.0,38.8,7.85,N,17.0,47.3,804.0999999999999,43.6,6.0,13.0,100.0,75.0,8.4,0.33,22.8,9.91,25.9,5.85,2.68,60.0,1.57
PI_576435,65.0,54.1,8.49,N,19.0,29.9,568.1,45.8,6.3,10.0,96.0,62.5,7.5,0.33,21.49,11.7,14.13,8.19,3.42,51.0,2.07
PI_655993,67.0,35.9,3.12,N,16.0,51.2,819.2,37.6,3.8,12.0,88.0,75.5,7.5,0.0,19.53,8.76,19.33,6.0,1.89,41.67,1.63
PI_655977,67.0,47.7,5.67,N,20.0,41.5,830.0,26.0,5.0,15.0,71.0,55.5,7.4,1.33,29.12,10.89,17.07,7.69,2.5,69.0,1.57
PI_17548,63.0,49.0,4.75,N,21.0,15.0,315.0,24.5,2.6,11.0,249.0,48.5,6.5,1.0,17.8,6.45,17.2,4.36,2.14,50.33,2.03
PI_656109,62.0,68.8,3.52,N,19.0,11.9,226.1,31.0,4.0,9.0,61.0,43.0,4.8,2.33,24.7,10.94,12.17,6.86,3.17,47.33,1.7000000000000002
PI_659696,64.0,57.9,3.22,N,22.0,45.0,990.0,36.3,6.4,14.0,140.0,66.0,8.5,0.67,17.7,10.14,11.33,7.13,4.34,47.67,1.4
PI_576359,69.0,41.7,9.27,N,7.0,7.7,53.9,36.5,4.2,11.0,160.0,51.0,7.0,0.33,19.83,8.42,13.67,4.67,2.49,41.33,1.97
PI_656106,69.0,41.4,10.15,N,20.0,31.0,620.0,41.7,6.7,12.0,105.0,53.0,8.0,0.0,19.08,9.21,12.23,7.34,4.59,44.33,1.47
PI_533814,73.0,27.6,8.37,N,12.0,24.1,289.20000000000005,36.5,5.2,14.0,62.0,,,0.0,22.61,10.51,13.23,6.64,2.97,104.67,1.23
PI_656001,76.0,34.9,8.38,N,9.0,29.6,266.40000000000003,27.0,5.2,13.0,90.0,,,0.33,23.71,9.8,17.33,6.56,2.72,56.33,2.03
PI_564163,65.0,41.0,3.66,N,8.0,55.9,447.2,25.2,3.6,13.0,95.0,,,0.0,24.32,9.69,24.17,5.83,2.76,59.33,1.97
PI_656018,76.0,38.1,3.43,N,15.0,13.7,205.5,40.0,4.3,14.0,80.0,,,0.0,20.0,8.83,17.47,5.44,1.87,52.0,1.43
PI_655996,72.0,42.7,4.1,N,8.0,28.5,228.0,27.8,4.6,12.0,84.0,72.8,7.9,1.33,27.01,11.56,25.57,7.68,2.74,78.0,1.97
PI_656032,81.0,43.7,6.93,N,15.0,23.7,355.5,,,13.0,225.0,55.7,7.0,0.33,19.7,8.47,27.4,4.63,1.0,75.33,2.17
PI_656104,65.0,43.0,5.98,N,18.0,8.5,153.0,25.0,2.6,12.0,141.0,51.5,4.4,2.0,14.96,6.89,15.97,5.01,2.83,73.0,1.53
PI_564163,67.0,35.6,9.7,N,10.0,42.3,423.0,36.0,4.6,10.0,88.0,75.6,8.2,0.33,24.9,8.87,22.53,6.25,2.83,60.0,1.5
PI_656076,72.0,36.6,5.94,N,16.0,21.6,345.6,46.0,6.1,12.0,80.0,,,0.0,19.14,10.52,11.13,6.27,2.87,49.67,1.2
PI_534117,64.0,32.9,6.67,N,14.0,17.1,239.40000000000003,37.2,5.8,10.0,82.0,,,0.67,20.56,10.91,12.3,5.99,2.31,47.0,1.3
PI_564163,65.0,43.9,8.43,N,8.0,44.3,354.4,22.5,2.6,15.0,101.0,,,0.33,24.46,10.26,24.03,7.1,3.23,60.0,1.1
PI_564163,69.0,43.9,5.11,N,13.0,35.6,462.8,33.5,4.6,12.0,93.0,,,0.0,23.67,8.99,21.5,5.37,2.63,55.33,1.83
PI_534157,72.0,24.3,4.0,N,8.0,37.6,300.8,31.7,5.3,15.0,82.0,61.5,6.5,0.0,24.6,8.05,18.73,5.31,3.29,49.33,2.5300000000000002
PI_656014,73.0,30.2,5.42,N,15.0,9.9,148.5,43.5,4.5,13.0,150.0,61.5,5.5,0.67,18.96,9.75,19.15,5.52,1.65,70.0,13.25
PI_656048,75.0,34.2,4.73,N,10.0,41.1,411.0,27.0,5.1,11.0,140.0,55.5,6.5,0.0,18.29,7.64,18.97,5.2,1.33,55.0,0.93
PI_561073,78.0,40.9,3.75,N,7.0,32.0,224.0,,,15.0,122.0,60.0,7.5,1.0,25.72,10.45,18.47,6.67,1.81,32.0,1.97
PI_656077,60.0,46.6,7.44,N,20.0,16.2,324.0,40.1,3.7,12.0,160.0,55.0,5.5,1.0,15.11,8.88,17.13,5.39,2.08,59.67,2.3
PI_533937,63.0,65.6,4.66,N,10.0,33.3,333.0,22.5,3.5,12.0,109.0,57.0,7.2,0.0,27.08,10.25,22.93,7.42,3.02,55.0,2.13
PI_564163,64.0,32.7,6.22,N,19.0,29.8,566.2,32.0,4.9,11.0,100.0,72.0,6.8,0.33,19.27,7.79,26.17,5.05,1.83,58.67,1.47
PI_656108,59.0,50.900000000000006,4.35,N,13.0,26.1,339.3,39.5,6.2,10.0,82.0,49.5,7.0,0.67,16.58,10.2,9.93,6.69,4.03,91.33,0.93
PI_564163,66.0,27.5,4.09,N,15.0,44.0,660.0,30.1,4.0,14.0,95.0,64.0,7.0,0.33,18.92,7.95,23.1,5.46,2.18,54.67,1.37
PI_576394,62.0,68.95,2.25,Y,8.0,,,33.5,4.6,13.0,90.0,55.0,5.6,1.33,26.9,12.26,18.57,6.53,2.24,44.67,2.47
PI_656091,79.0,35.7,7.14,N,13.0,6.4,83.2,,,18.0,76.0,56.5,6.8,0.33,30.58,10.16,13.67,6.7,3.28,59.0,1.33
PI_564165,76.0,28.7,1.04,Y,7.0,,,34.0,4.8,13.0,85.0,62.0,7.5,0.33,33.04,11.7,19.57,7.44,2.22,42.33,1.3
PI_564163,69.0,46.5,5.64,N,17.0,38.9,661.3,24.2,2.7,13.0,100.0,74.5,7.5,0.67,27.98,11.13,23.0,6.51,3.33,58.0,1.9
PI_576393,58.0,35.6,7.05,N,26.0,22.9,595.4,37.5,4.0,10.0,75.0,49.5,5.2,1.33,17.53,7.71,3.9,5.63,4.1,22.33,4.5
PI_534108,67.0,47.7,5.45,N,17.0,45.9,780.3,43.0,5.6,12.0,112.0,56.0,6.5,0.67,22.48,9.45,14.27,6.48,3.21,52.0,2.23
PI_533758,72.0,40.3,4.82,N,14.0,13.9,194.6,38.5,5.7,12.0,92.0,62.5,7.2,0.33,24.46,10.01,15.37,7.39,2.39,47.0,1.57
PI_533866,71.0,39.599999999999994,1.98,N,6.0,35.4,212.39999999999998,33.0,5.4,12.0,99.0,,,0.0,28.77,11.31,25.97,7.3,2.2800000000000002,74.0,2.03
PI_564163,71.0,36.6,2.89,N,8.0,66.9,535.2,33.1,4.9,13.0,102.0,,,0.0,22.75,8.62,22.57,5.77,2.24,54.33,1.5
PI_656035,67.0,72.3,4.51,N,18.0,40.0,720.0,38.0,3.9,14.0,265.0,,,0.33,17.83,8.49,21.7,6.47,1.75,63.0,1.4
PI_564163,71.0,31.0,8.41,N,7.0,46.1,322.7,30.6,3.7,13.0,92.0,,,0.0,23.24,8.21,21.4,5.8,2.35,58.67,1.67
PI_564163,67.0,35.3,6.17,N,11.0,41.0,451.0,30.2,4.5,12.0,97.0,57.0,5.9,0.0,21.02,8.64,23.5,5.68,2.33,56.33,1.87
PI_533915,66.0,59.4,5.08,N,18.0,18.3,329.4,28.0,6.0,13.0,110.0,44.5,7.4,1.0,21.34,13.29,22.6,7.83,2.38,40.0,1.57
PI_534047,56.0,62.6,11.02,N,12.0,39.1,469.20000000000005,30.5,4.8,11.0,75.0,54.9,7.2,0.33,21.34,10.57,29.2,7.49,2.63,50.67,1.73
PI_533845,66.0,53.5,7.57,N,18.0,36.4,655.1999999999999,34.0,5.5,14.0,82.0,59.2,8.0,1.0,24.16,9.64,22.93,6.41,3.13,78.0,2.9
PI_656093,71.0,56.7,5.2,N,19.0,11.6,220.4,65.5,4.0,11.0,127.0,,,3.67,24.05,9.51,21.13,5.52,2.73,58.67,1.6
PI_656037,73.0,35.3,4.65,N,10.0,45.6,456.0,40.0,6.3,14.0,145.0,,,1.67,24.84,10.5,18.43,6.23,2.58,54.33,0.9
PI_656016,64.0,45.2,4.7,N,18.0,27.5,495.0,37.0,4.2,12.0,102.0,,,0.0,27.0,11.84,26.53,7.7,3.46,41.0,2.2
PI_656029,81.0,31.6,4.58,N,10.0,18.7,187.0,42.0,4.6,13.0,77.0,,,0.0,28.17,11.5,17.1,6.89,3.36,65.0,2.0
PI_655976,63.0,33.2,9.37,N,17.0,47.1,800.7,53.0,5.7,13.0,88.0,,,0.0,27.59,13.3,20.87,7.74,2.27,46.33,2.47
PI_564163,67.0,43.1,7.9,Y,,,,,,,,,,0.33,27.57,11.23,24.93,7.21,3.87,62.0,2.5
PI_656061,69.0,28.6,5.14,N,16.0,,,34.0,4.1,14.0,95.0,61.5,6.0,0.67,18.75,7.57,14.63,5.3,2.83,48.67,1.77
PI_656115,63.0,39.3,11.03,N,17.0,3.5,59.5,31.5,3.3,10.0,148.0,59.0,5.5,1.0,15.05,5.54,27.57,3.42,1.12,86.0,1.83
PI_564163,63.0,45.6,10.98,N,15.0,24.4,366.0,30.0,4.8,13.0,65.0,50.0,5.0,0.0,17.3,7.22,25.13,4.32,1.9300000000000002,51.33,1.87
PI_642998,67.0,47.2,10.08,N,19.0,,,44.5,6.6,13.0,313.0,57.0,6.5,0.0,19.29,11.21,20.5,6.94,2.82,62.67,16.1
PI_597964,66.0,48.1,6.06,N,12.0,53.9,646.8,37.0,7.0,14.0,100.0,70.0,9.5,0.0,25.12,10.29,19.2,7.27,3.1,62.0,1.27
PI_655973,65.0,55.400000000000006,19.0,Y,11.0,,,44.0,7.0,15.0,180.0,56.0,8.0,1.33,24.56,12.98,13.77,8.16,3.29,41.33,2.2
PI_659753,80.0,37.3,4.4,Y,4.0,,,,,14.0,150.0,59.0,6.0,1.0,23.41,10.5,15.75,7.23,2.24,99.5,0.6000000000000001
PI_597949,76.0,39.8,8.12,N,17.0,2.7,45.900000000000006,24.5,2.8,13.0,101.0,61.0,4.5,0.33,22.08,7.37,25.3,4.69,1.92,56.67,3.93
PI_533921,66.0,53.9,5.62,N,12.0,44.0,528.0,26.3,5.2,15.0,138.0,50.0,5.5,1.33,21.39,9.63,9.03,7.36,3.82,69.67,0.77
