,DaysToBloom,MedianLeafAngle,LeafAngleSDV,PoorStand?,PaniclesPerPlot,PanicleGrainWeight,EstimatedPlotYield,FlagLeafLength,FlagLeafWidth,ExtantLeafNumber,PlantHeight,ThirdLeafLength,ThirdLeafWidth,TillersPerPlant,StemDiameterLower,StemDiameterUpper,RachisLength,RachisDiameterLower,RachisDiameterUpper,PrimaryBranchNo,BranchInternodeLength
PI_656085,57.0,46.7,3.01,N,13.0,37.7,490.1,35.6,4.0,12.0,65.0,62.0,6.5,0.67,24.3,9.71,16.17,7.29,2.52,59.67,1.17
PI_576340,61.0,18.0,6.04,N,10.0,35.3,353.0,26.0,4.0,14.0,111.0,53.5,6.8,0.0,16.56,6.82,19.6,4.0,1.24,48.33,1.43
PI_533863,64.0,64.4,6.33,N,19.0,35.5,674.5,43.6,5.6,11.0,110.0,64.0,6.8,1.33,22.28,10.15,24.2,6.92,1.3,44.67,2.27
PI_656099,81.0,22.7,5.21,N,9.0,,,,,15.0,162.0,61.0,8.8,0.33,22.11,11.15,16.97,6.38,2.22,97.67,1.63
PI_656021,63.0,42.9,8.66,N,18.0,22.3,401.4,39.1,5.5,11.0,82.0,73.5,7.5,0.33,19.3,9.22,24.67,6.19,2.02,68.33,1.9
PI_656019,55.0,52.8,3.09,N,17.0,25.2,428.4,41.0,4.5,10.0,80.0,71.0,7.0,0.0,21.22,9.7,23.57,7.66,1.56,44.0,1.67
PI_534063,63.0,59.8,5.21,N,27.0,8.2,221.39999999999998,28.5,4.5,9.0,122.0,55.5,5.0,0.33,15.21,8.89,30.4,4.96,1.19,50.33,2.33
PI_656053,68.0,30.1,6.71,N,11.0,54.9,603.9,42.5,5.0,13.0,70.0,67.0,7.8,1.0,23.94,8.66,21.13,5.11,1.35,53.33,1.4
PI_533948,63.0,50.0,4.82,N,14.0,32.5,455.0,24.5,2.5,10.0,79.0,57.0,4.8,0.0,21.6,8.97,23.2,5.32,2.42,61.0,2.17
PI_656052,64.0,52.1,5.39,N,12.0,48.5,582.0,36.5,4.5,11.0,71.0,65.0,6.0,0.0,25.5,10.03,21.77,6.11,2.03,52.0,1.07
PI_564163,63.0,38.5,15.16,N,16.0,41.0,656.0,33.5,4.2,12.0,101.0,68.0,6.5,0.0,19.39,8.94,27.1,5.75,1.9,57.0,2.0
PI_656119,57.0,62.5,10.14,N,11.0,29.7,326.7,40.5,3.6,9.0,110.0,59.0,6.0,0.67,24.21,11.66,30.77,7.59,2.67,94.0,1.7000000000000002
PI_564163,65.0,36.4,3.9,N,15.0,32.9,493.5,23.6,3.5,12.0,80.0,67.0,6.5,0.0,21.82,7.72,23.43,4.86,2.36,58.67,1.37
PI_656116,50.0,56.9,10.31,N,22.0,11.3,248.60000000000002,37.3,2.4,9.0,75.0,,,1.67,18.02,7.04,22.23,4.57,1.59,65.67,2.03
PI_534046,63.0,46.9,5.46,N,19.0,25.6,486.4,30.3,3.6,11.0,75.0,,,0.0,20.77,8.52,29.83,6.39,2.49,57.0,2.33
PI_597958,70.0,35.1,3.31,N,9.0,23.1,207.9,34.0,5.0,13.0,95.0,,,0.33,25.23,9.5,23.43,7.09,1.71,64.33,1.73
PI_655995,69.0,49.0,1.48,N,14.0,8.4,117.6,48.0,7.5,13.0,185.0,62.8,7.8,0.67,22.19,8.52,16.77,6.0,2.63,57.0,24.83
PI_576130,76.0,49.9,5.69,N,13.0,11.0,143.0,,,14.0,233.0,68.9,7.2,0.0,17.34,10.98,17.7,5.31,1.9300000000000002,75.0,1.67
PI_533940,64.0,55.2,5.36,N,17.0,7.3,124.1,23.6,3.3,12.0,101.0,52.7,5.3,0.33,8.98,6.18,16.63,4.19,1.57,40.33,1.13
PI_534144,69.0,66.7,1.48,N,12.0,56.7,680.4000000000001,20.5,3.0,14.0,196.0,41.2,7.1,0.33,24.43,11.25,5.97,7.83,5.29,52.0,0.8
PI_564163,63.0,29.8,6.65,N,10.0,68.0,680.0,32.0,4.8,13.0,99.0,,,0.0,15.55,7.05,24.2,4.93,1.94,50.33,1.43
TX430,71.0,43.8,8.88,N,9.0,,,42.5,5.8,15.0,98.0,,,2.0,27.53,11.81,26.23,7.46,2.13,84.0,1.57
PI_533755,68.0,38.9,6.14,N,17.0,27.4,465.79999999999995,28.3,4.0,13.0,82.0,,,0.33,21.6,7.68,22.03,5.85,1.67,57.67,2.5
PI_597951,63.0,44.4,17.13,N,15.0,22.4,336.0,43.0,4.5,12.0,111.0,,,1.0,22.18,10.5,36.03,6.24,2.67,60.67,2.0
PI_656117,73.0,50.65,6.93,N,8.0,71.8,574.4,31.6,5.5,16.0,91.0,,,0.33,25.83,11.2,11.4,8.91,3.74,40.0,1.17
PI_656027,,34.05,6.03,N,13.0,44.1,573.3000000000001,,,,,,,1.0,25.11,9.69,23.97,5.92,0.97,25.33,2.13
PI_533785,63.0,46.8,4.21,N,17.0,34.3,583.0999999999999,35.6,5.8,12.0,88.0,61.5,6.0,0.67,22.77,10.77,38.1,5.81,2.42,76.67,2.17
PI_534135,85.0,27.5,6.22,N,13.0,4.5,58.5,,,16.0,60.0,38.0,5.5,0.67,23.9,8.2,16.77,5.08,1.44,62.67,2.3
PI_595699,70.0,31.9,7.02,N,8.0,43.5,348.0,31.5,4.3,12.0,73.0,65.0,6.5,0.33,22.63,9.19,16.87,7.15,2.86,80.33,0.9
PI_534053,72.0,36.8,7.66,N,20.0,19.3,386.0,31.0,3.3,14.0,75.0,60.0,5.8,1.0,21.84,8.73,17.0,5.35,1.39,59.67,1.07
PI_597952,64.0,47.4,2.35,Y,12.0,,,37.9,4.6,14.0,111.0,69.0,6.7,1.33,24.16,9.49,23.55,7.83,2.25,80.0,1.2
PI_534116,62.0,47.0,5.14,N,28.0,17.9,501.19999999999993,38.5,4.4,10.0,72.0,60.0,7.0,2.33,21.14,8.17,27.57,4.17,1.71,59.0,3.87
PI_564163,60.0,35.5,4.12,N,15.0,25.1,376.5,32.5,5.0,11.0,88.0,64.0,6.8,0.0,17.92,8.32,26.77,4.91,1.75,54.0,1.43
PI_656068,73.0,32.4,2.57,N,14.0,50.3,704.2,34.5,5.9,16.0,82.0,73.0,8.0,0.33,30.35,11.2,19.9,7.81,3.32,56.0,2.1
PI_564163,59.0,29.8,3.33,N,16.0,34.4,550.4,35.0,4.0,11.0,105.0,71.0,7.0,0.0,20.94,9.52,30.1,5.78,2.03,54.67,1.83
PI_576385,59.0,69.4,5.97,N,20.0,38.9,778.0,41.6,4.7,10.0,140.0,46.0,5.5,0.67,19.43,9.38,16.17,6.34,2.37,66.0,2.33
PI_564163,63.0,38.7,5.99,N,14.0,55.4,775.6,27.0,3.6,12.0,98.0,66.0,7.5,1.0,17.69,7.49,24.83,5.0,1.94,56.33,1.73
PI_534123,63.0,52.5,2.79,N,21.0,11.5,241.5,46.0,5.5,12.0,95.0,71.0,5.8,0.0,19.35,9.06,26.9,3.83,1.83,49.67,2.67
PI_656069,76.0,32.4,4.63,N,16.0,17.6,281.6,31.5,5.1,13.0,70.0,67.0,7.0,0.33,27.93,8.8,16.4,6.5,3.39,73.0,1.73
PI_641849,50.0,45.6,3.48,N,28.0,10.4,291.2,53.5,5.8,8.0,190.0,63.5,6.5,0.33,16.09,6.64,32.7,4.53,1.74,42.0,3.63
PI_656058,74.0,49.7,4.42,N,9.0,31.9,287.09999999999997,35.6,3.6,10.0,68.0,62.0,7.0,0.0,20.55,9.16,24.33,5.26,2.09,51.33,1.57
PI_595740,71.0,38.3,5.44,N,16.0,18.2,291.2,31.0,4.1,15.0,90.0,46.5,6.5,0.33,23.64,9.19,10.0,5.93,3.26,37.67,1.7000000000000002
PI_576348,67.0,31.9,3.12,N,34.0,5.8,197.2,45.0,4.6,11.0,100.0,75.5,5.5,2.67,19.25,5.91,31.17,3.51,1.61,24.0,4.17
PI_533967,73.0,40.7,2.44,N,12.0,16.2,194.39999999999998,26.5,4.7,13.0,80.0,51.0,5.7,1.0,23.16,9.01,19.5,4.9,1.75,65.33,1.13
PI_656097,81.0,31.6,2.93,N,5.0,16.3,81.5,,,13.0,103.0,,,0.0,23.2,11.5,15.57,7.88,2.26,100.0,1.37
PI_576381,72.0,39.0,4.03,N,13.0,23.6,306.8,36.6,5.0,14.0,79.0,,,1.67,28.09,12.65,21.43,9.83,2.62,65.33,1.7000000000000002
PI_534145,59.0,50.4,10.21,N,21.0,13.3,279.3,43.0,4.6,10.0,98.0,,,1.0,17.32,6.66,33.7,3.56,1.35,39.33,1.87
PI_564163,66.0,33.9,3.84,N,10.0,51.9,519.0,23.0,3.0,14.0,99.0,,,0.0,23.42,9.24,23.8,6.01,2.6,58.0,1.57
PI_533997,59.0,39.7,4.74,N,21.0,30.9,648.9,33.5,4.3,9.0,110.0,63.5,6.1,2.0,17.13,11.37,8.73,6.33,3.67,56.33,1.63
PI_576376,66.0,34.6,6.37,N,16.0,28.5,456.0,41.8,4.0,13.0,83.0,61.9,6.2,0.67,24.14,11.32,22.0,8.26,2.8,66.33,1.47
PI_533956,62.0,34.8,6.51,N,13.0,34.1,443.3,40.5,4.3,11.0,93.0,55.5,7.4,0.33,21.5,10.07,17.63,6.23,2.5300000000000002,44.0,1.73
PI_656095,63.0,41.3,2.88,N,17.0,32.7,555.9000000000001,40.1,3.8,12.0,172.0,69.6,6.6,0.67,17.15,11.86,25.93,8.46,3.37,95.33,1.77
PI_533769,62.0,37.1,3.38,N,8.0,27.1,216.8,50.5,5.5,12.0,60.0,,,3.5,24.54,13.13,19.5,6.91,1.6800000000000002,54.67,1.83
PI_656075,74.0,40.6,10.21,N,15.0,34.0,510.0,29.8,3.8,17.0,108.0,,,0.67,25.0,7.76,18.1,5.14,2.08,45.33,1.03
PI_655970,69.0,39.6,3.17,N,17.0,27.6,469.20000000000005,27.1,4.4,13.0,166.0,,,0.67,23.46,10.42,14.7,6.33,4.65,55.67,1.8
PI_534115,65.0,57.7,10.68,N,14.0,49.4,691.6,37.5,8.0,14.0,90.0,,,0.67,24.27,12.71,13.73,7.78,3.2,68.67,1.4
PI_656050,65.0,67.6,4.2,N,22.0,30.5,671.0,39.2,6.4,12.0,255.0,,,1.0,17.29,7.79,23.47,6.82,1.37,60.67,1.6
PI_656006,80.0,31.0,4.6,N,8.0,12.0,96.0,,,18.0,81.0,56.5,6.0,0.33,28.25,7.95,29.3,5.54,1.21,60.0,1.77
PI_576373,67.0,52.9,7.09,N,15.0,35.9,538.5,29.5,3.3,14.0,71.0,60.0,6.5,0.33,22.82,8.61,12.17,4.86,1.89,41.67,1.07
PI_659694,75.0,32.8,6.25,N,14.0,23.2,324.8,37.6,5.0,15.0,121.0,55.0,5.5,0.33,19.68,8.95,18.23,6.41,1.78,37.0,1.03
PI_656056,76.0,29.6,5.93,N,11.0,11.2,123.19999999999999,40.1,7.3,13.0,90.0,61.0,7.5,0.33,25.82,9.96,17.4,6.74,2.96,69.33,1.57
PI_642791,73.0,39.8,6.14,N,14.0,27.5,385.0,46.0,5.9,15.0,88.0,60.0,6.5,0.0,20.7,8.36,19.0,5.07,2.21,62.33,1.9
PI_656025,62.0,54.4,6.44,N,9.0,21.8,196.2,36.1,7.0,11.0,130.0,52.0,8.8,0.0,25.98,14.58,19.0,10.24,2.46,99.0,1.57
PI_656005,63.0,44.2,8.3,N,14.0,24.9,348.6,44.2,4.8,12.0,70.0,70.0,7.0,0.33,22.87,9.48,24.9,4.59,1.84,46.33,1.8
PI_533852,63.0,40.7,,Y,6.0,,,32.0,5.8,10.0,72.0,44.5,7.0,0.67,25.26,12.77,11.6,8.35,3.56,59.67,1.47
PI_576337,66.0,53.7,7.63,N,27.0,8.8,237.60000000000002,46.5,3.5,10.0,115.0,61.5,5.5,3.33,20.37,7.35,35.43,4.6,1.62,42.33,2.17
PI_564163,63.0,53.4,5.17,N,17.0,55.5,943.5,30.6,4.6,13.0,110.0,67.0,6.0,0.0,19.51,8.51,25.67,6.16,2.57,56.67,1.7000000000000002
PI_533996,64.0,52.8,2.2800000000000002,N,10.0,75.9,759.0,32.0,3.5,11.0,70.0,55.5,6.2,0.33,27.02,14.08,20.7,10.61,4.29,62.33,1.9
PI_533913,63.0,40.7,6.44,N,14.0,25.8,361.2,36.0,5.5,11.0,73.0,57.0,6.8,0.0,21.56,8.93,15.03,4.36,2.72,36.33,3.43
PI_613536,62.0,70.5,,Y,3.0,,,30.8,6.1,10.0,110.0,52.0,7.5,1.0,26.74,13.09,17.3,4.89,2.03,35.0,3.5
PI_564163,66.0,43.1,3.06,N,10.0,42.3,423.0,44.0,6.5,11.0,100.0,81.5,8.0,0.0,23.33,10.18,25.73,6.57,2.37,59.0,1.6
PI_656107,69.0,50.9,12.36,N,17.0,47.4,805.8,37.0,5.6,16.0,122.0,68.0,11.0,1.0,26.19,11.16,18.4,6.86,2.4,46.67,1.43
PI_533839,66.0,37.0,9.62,N,17.0,4.7,79.9,34.0,4.1,9.0,110.0,59.0,5.0,2.33,19.86,7.68,22.07,4.7,1.99,57.67,1.9300000000000002
PI_659691,81.0,39.2,7.84,N,17.0,8.0,136.0,,,16.0,95.0,73.0,7.0,3.33,26.3,10.2,19.97,6.86,2.2,95.0,1.4
PI_533965,69.0,38.9,5.48,N,16.0,24.5,392.0,29.0,3.5,12.0,86.0,,,0.33,18.28,8.47,16.3,6.12,2.1,48.33,1.53
PI_564163,69.0,39.2,4.69,N,10.0,48.3,483.0,32.5,4.6,12.0,90.0,,,0.0,24.47,9.68,24.37,6.61,2.65,61.67,1.5
PI_533957,67.0,27.1,7.15,N,18.0,15.7,282.59999999999997,41.3,4.1,11.0,78.0,,,0.0,21.28,7.65,4.83,4.68,2.72,26.33,3.87
PI_656090,68.0,72.7,7.53,N,22.0,19.1,420.20000000000005,40.6,4.6,12.0,183.0,,,0.33,18.48,6.67,21.9,4.11,1.28,49.0,1.57
PI_576437,63.0,51.8,8.16,N,15.0,26.4,396.0,31.0,3.7,11.0,153.0,58.1,6.1,0.0,15.94,6.96,29.27,4.8100000000000005,1.13,63.67,1.43
PI_656000,63.0,33.2,6.22,N,11.0,31.0,341.0,24.8,4.5,12.0,88.0,67.7,7.4,0.0,26.29,8.37,23.27,6.17,3.26,79.33,1.9300000000000002
PI_533759,66.0,47.5,4.98,N,14.0,39.0,546.0,42.2,5.9,12.0,69.0,66.4,10.1,0.67,26.88,10.91,20.3,7.32,2.52,60.0,1.17
PI_533821,65.0,39.7,9.54,N,12.0,28.9,346.79999999999995,33.0,4.0,12.0,88.0,51.8,7.6,0.0,23.9,10.36,7.73,6.78,3.51,31.33,2.03
PI_576386,76.0,50.6,12.68,N,14.0,16.5,231.0,28.1,4.1,15.0,146.0,,,0.0,18.38,6.28,7.8,4.17,2.47,32.0,1.2
PI_534124,64.0,51.4,13.03,N,20.0,21.0,420.0,44.0,4.0,11.0,112.0,,,0.33,22.1,8.96,26.07,5.49,3.55,46.67,2.97
PI_595718,59.0,47.6,6.75,N,15.0,30.6,459.0,38.0,5.3,12.0,77.0,,,0.33,17.32,9.74,24.07,6.64,1.77,46.67,2.1
PI_656118,73.0,36.2,4.19,N,10.0,24.2,242.0,48.0,4.4,14.0,85.0,,,0.67,29.36,8.33,22.83,5.25,1.35,38.0,5.0
PI_533830,72.0,34.6,4.73,N,14.0,28.6,400.4,30.0,5.0,13.0,76.0,53.0,6.0,0.67,20.23,8.81,12.33,4.7,1.98,58.33,1.57
PI_564163,66.0,38.4,9.43,N,12.0,74.7,896.4000000000001,39.5,5.0,12.0,90.0,75.5,9.0,0.0,22.29,9.1,24.53,6.08,2.44,59.0,1.6
PI_561472,77.0,34.7,6.79,N,12.0,35.3,423.6,,,14.0,168.0,60.0,6.5,0.0,20.25,9.48,17.67,5.63,1.67,53.33,1.27
PI_564163,66.0,43.8,5.39,N,14.0,39.1,547.4,33.9,5.4,11.0,101.0,65.0,6.5,0.0,18.86,8.55,27.37,6.15,2.12,57.33,1.5
PI_564163,63.0,41.4,3.49,N,9.0,50.5,454.5,36.1,4.7,12.0,85.0,68.0,6.5,0.33,22.73,9.93,26.93,5.91,2.39,55.0,2.03
PI_597968,63.0,43.9,10.14,N,13.0,31.5,409.5,32.1,6.6,11.0,78.0,65.5,7.5,0.67,23.64,8.83,31.13,6.08,2.2800000000000002,60.33,2.6
PI_656088,64.0,53.7,10.83,N,12.0,42.9,514.8,26.0,4.5,11.0,168.0,53.0,6.5,0.33,18.84,8.73,21.0,5.53,2.7,50.67,1.53
PI_595741,67.0,37.9,9.19,N,25.0,20.6,515.0,38.0,3.7,12.0,90.0,66.0,6.0,2.33,20.47,8.05,32.73,5.34,1.51,80.67,1.77
PI_533841,68.0,40.5,3.4,N,12.0,46.1,553.2,44.6,5.6,13.0,78.0,68.5,7.0,0.0,23.41,10.64,26.73,7.18,2.1,59.33,1.3
PI_656120,68.0,47.95,1.85,Y,3.0,,,40.5,6.6,14.0,78.0,59.0,6.0,0.5,32.74,14.85,12.3,9.2,4.16,51.5,2.55
PI_597957,64.0,46.4,5.43,N,13.0,21.8,283.40000000000003,36.0,6.2,12.0,70.0,55.5,6.2,0.0,30.15,12.79,20.9,8.22,3.19,74.67,1.43
PI_576364,63.0,53.05,8.93,N,21.0,25.2,529.1999999999999,33.0,5.0,9.0,85.0,63.5,7.5,2.33,21.47,8.82,13.1,4.6,2.22,56.67,2.27
PI_533754,63.0,50.6,6.22,N,22.0,10.0,220.0,32.7,3.3,11.0,123.0,55.5,6.0,0.67,25.67,9.83,21.8,6.54,1.57,57.0,1.27
PI_533943,67.0,42.7,6.47,N,15.0,28.9,433.5,38.8,5.7,13.0,91.0,51.0,6.5,0.0,25.69,12.22,20.97,7.74,2.6,104.0,1.37
PI_656034,75.0,38.3,3.65,N,7.0,31.7,221.9,40.2,7.9,12.0,110.0,67.5,7.0,0.0,30.1,11.34,24.0,6.9,1.33,59.67,1.9
PI_595743,73.0,48.1,8.11,N,14.0,8.9,124.6,59.7,6.0,15.0,72.0,70.0,6.8,0.33,23.85,6.8,27.4,4.14,1.32,59.33,2.73
PI_533949,62.0,59.6,6.3,N,16.0,23.1,369.6,32.0,4.6,12.0,79.0,64.0,8.5,1.0,24.79,9.49,18.57,5.13,1.9,61.0,1.47
PI_656002,69.0,41.0,6.13,N,9.0,67.9,611.1,28.6,3.0,15.0,88.0,67.0,7.3,0.33,29.23,9.37,17.5,6.93,3.81,56.67,2.1
PI_656094,61.0,79.8,4.42,N,18.0,26.7,480.6,43.5,4.5,10.0,120.0,,,0.33,14.99,8.62,38.27,4.35,1.52,66.0,3.67
PI_655974,69.0,38.0,4.33,N,13.0,34.0,442.0,29.6,4.5,12.0,151.0,,,0.0,17.76,8.79,18.63,5.41,3.12,49.33,1.6
PI_656003,71.0,25.8,6.34,N,21.0,12.7,266.7,28.6,3.0,12.0,133.0,,,0.33,20.0,8.52,19.17,4.79,2.22,63.33,1.07
PI_533842,79.0,25.6,,Y,4.0,,,,,15.0,69.0,,,3.0,27.81,12.15,16.4,6.79,2.77,91.0,0.9
PI_597982,57.0,60.0,7.63,N,16.0,53.1,849.6,35.6,4.7,10.0,99.0,60.7,7.7,0.0,19.94,10.58,27.17,8.2,1.9300000000000002,43.67,2.1
PI_655971,59.0,46.8,3.74,N,16.0,43.4,694.4,29.5,3.6,13.0,101.0,55.8,5.1,0.67,20.38,10.4,12.13,7.18,2.14,81.67,1.5
PI_656087,57.0,53.0,8.94,N,15.0,42.4,636.0,37.1,5.8,10.0,80.0,55.7,7.9,1.0,19.32,10.93,33.13,6.9,1.41,50.67,2.0
PI_655981,69.0,49.2,3.2,N,22.0,3.6,79.2,46.0,3.5,12.0,282.0,60.3,4.2,2.67,24.66,6.03,23.43,3.75,1.59,51.33,1.37
PI_656055,71.0,37.8,6.54,N,15.0,25.3,379.5,38.2,5.8,14.0,82.0,,,0.0,22.63,8.82,21.5,6.46,1.5,63.67,1.9300000000000002
PI_533936,61.0,28.6,3.96,N,14.0,19.9,278.59999999999997,27.5,2.7,11.0,75.0,,,0.67,23.73,7.54,13.13,5.41,3.13,60.0,2.1
PI_533962,68.0,33.1,5.04,N,21.0,26.8,562.8000000000001,37.3,4.2,13.0,112.0,,,2.0,21.6,8.46,14.43,5.96,1.32,56.0,0.8
PI_609456,62.0,34.6,4.73,N,,,,,,18.0,252.0,45.0,7.5,0.0,20.39,5.79,27.23,3.46,1.0,60.0,2.17
PI_656004,75.0,24.1,8.44,N,14.0,17.5,245.0,31.6,3.4,16.0,88.0,67.0,6.0,2.67,29.07,11.34,24.13,7.34,1.92,78.33,1.3
PI_533750,64.0,36.4,1.89,N,10.0,10.2,102.0,49.6,5.6,11.0,70.0,65.0,6.8,0.0,21.67,9.78,27.8,6.87,2.77,55.67,2.8
PI_533910,64.0,39.9,5.5,N,16.0,42.7,683.2,43.0,6.2,12.0,71.0,63.5,5.5,0.67,27.52,9.03,22.33,5.92,2.36,43.67,1.83
PI_533919,67.0,53.2,8.47,N,12.0,36.2,434.4,54.0,7.7,,,77.0,7.5,0.33,26.77,14.05,32.13,8.99,3.8,86.0,2.5300000000000002
PI_533810,79.0,35.2,5.14,N,8.0,18.6,148.8,51.9,7.2,13.0,70.0,69.0,8.0,0.33,27.77,12.74,18.03,9.41,2.56,87.0,1.7000000000000002
PI_534099,65.0,56.4,6.4,N,19.0,36.0,684.0,35.8,4.2,14.0,78.0,72.5,6.8,1.33,21.68,10.36,16.0,6.3,2.83,54.67,1.6
PI_656046,64.0,41.0,3.24,N,7.0,66.1,462.69999999999993,45.8,7.5,11.0,105.0,60.5,8.5,0.0,21.33,11.74,15.1,7.28,2.98,96.33,1.2
PI_534070,55.0,52.9,6.69,N,14.0,24.4,341.6,35.5,4.5,9.0,77.0,55.0,7.5,0.67,22.2,10.96,36.13,6.48,2.27,44.33,2.7
PI_576401,76.0,28.4,5.97,N,8.0,8.7,69.6,43.8,7.0,17.0,120.0,50.0,6.5,0.0,26.63,13.08,19.33,7.77,2.52,114.0,2.43
PI_564163,66.0,34.4,5.99,N,21.0,56.5,1186.5,36.3,4.5,14.0,112.0,71.0,7.5,1.0,21.77,9.15,25.7,6.78,2.66,56.33,1.97
PI_561072,67.0,38.0,6.04,Y,8.0,,,34.0,5.4,14.0,92.0,67.5,7.3,1.67,28.58,12.51,25.23,8.22,2.22,59.0,1.43
PI_597971,63.0,51.3,9.48,N,11.0,37.0,407.0,31.5,5.1,10.0,84.0,53.5,6.5,0.0,27.32,10.53,22.37,6.35,1.41,94.0,1.83
PI_656049,75.0,15.4,2.9,N,16.0,6.8,108.8,27.5,3.8,15.0,160.0,53.0,7.5,0.0,19.25,7.5,23.93,5.02,2.03,52.33,1.63
PI_533991,66.0,52.9,7.69,N,9.0,38.9,350.1,38.0,6.6,13.0,82.0,67.0,7.2,0.0,25.66,10.4,18.15,7.46,2.83,73.0,1.85
PI_533833,64.0,57.7,3.85,N,23.0,13.9,319.7,26.7,3.7,13.0,92.0,48.5,5.5,0.0,19.77,7.49,34.0,4.88,1.92,55.0,4.47
PI_564163,65.0,41.2,5.68,N,16.0,46.5,744.0,40.4,5.5,13.0,100.0,70.0,6.6,0.0,19.58,8.68,24.7,5.63,2.26,49.0,1.67
PI_564163,64.0,48.4,8.1,N,10.0,86.2,862.0,35.1,5.5,11.0,110.0,72.0,8.3,0.33,20.44,9.71,27.13,6.5,2.49,57.67,1.7000000000000002
PI_533903,66.0,25.3,7.26,Y,6.0,44.3,265.79999999999995,47.8,8.0,10.0,77.0,,,0.33,30.48,14.74,27.33,6.78,2.44,70.67,2.03
PI_656042,78.0,36.0,6.93,N,6.0,32.0,192.0,60.0,6.1,13.0,68.0,,,0.0,26.2,11.07,28.5,7.66,2.21,50.67,2.03
PI_656026,79.0,36.8,4.09,N,9.0,18.7,168.3,31.7,6.9,13.0,110.0,,,0.0,26.82,10.93,19.77,7.64,2.46,66.33,1.57
PI_576349,73.0,30.3,2.84,N,24.0,2.8,67.19999999999999,40.0,3.1,10.0,98.0,,,3.67,17.94,6.0,33.07,3.71,1.53,26.33,5.53
PI_656012,79.0,34.25,3.84,N,11.0,83.7,920.7,,,15.0,101.0,63.7,6.5,1.67,29.89,11.86,14.37,6.66,1.53,82.0,1.2
PI_656022,66.0,50.4,3.94,N,14.0,39.9,558.6,21.0,2.5,14.0,99.0,61.6,7.4,0.0,22.21,8.77,13.9,5.92,3.85,50.0,1.7000000000000002
PI_564163,64.0,37.7,6.96,N,12.0,39.1,469.20000000000005,35.4,5.3,13.0,101.0,,,0.33,19.43,8.18,26.53,5.77,1.82,55.33,1.5
PI_656111,68.0,66.3,11.1,N,24.0,32.9,789.5999999999999,34.5,3.6,11.0,153.0,81.1,6.4,1.0,22.37,8.76,16.75,5.67,3.17,70.0,0.95
PI_564163,64.0,42.5,,Y,4.0,98.4,393.6,42.5,6.5,12.0,100.0,,,0.33,27.74,12.36,26.2,7.61,3.32,62.67,2.03
PI_533807,71.0,54.0,8.74,N,10.0,40.5,405.0,40.8,4.8,16.0,96.0,,,1.0,31.16,11.17,14.07,7.6,4.01,65.33,1.43
PI_276837,61.0,50.0,9.42,N,10.0,33.7,337.0,26.0,2.7,9.0,153.0,70.2,7.5,0.67,18.86,8.77,17.5,5.36,2.25,40.0,1.73
PI_656121,62.0,56.1,7.38,Y,8.0,,,31.7,4.4,10.0,101.0,,,0.67,26.18,10.3,31.77,7.77,2.47,70.0,2.13
PI_534114,69.0,16.9,2.4,N,15.0,26.8,402.0,35.0,5.5,13.0,75.0,55.0,5.8,0.0,20.88,7.19,20.28,5.39,1.72,55.33,2.63
PI_533979,59.0,54.3,6.55,N,19.0,21.1,400.9,34.0,3.8,10.0,98.0,54.0,5.0,0.33,18.23,9.22,19.27,5.3,2.4,55.67,1.6
PI_533824,71.0,35.2,3.83,N,13.0,24.8,322.40000000000003,42.4,6.8,16.0,70.0,56.5,7.5,0.33,27.25,11.67,15.0,5.76,2.88,69.67,1.87
PI_552861,63.0,44.7,7.49,N,12.0,53.0,636.0,41.0,5.0,12.0,85.0,52.0,5.5,0.0,17.81,8.74,28.33,5.94,1.87,53.0,2.03
PI_597961,62.0,43.4,11.24,N,16.0,42.1,673.6,42.0,6.1,11.0,77.0,67.0,7.5,0.0,20.16,11.09,20.77,7.97,2.5300000000000002,62.67,1.07
PI_533976,66.0,61.4,5.73,N,18.0,51.7,930.6,35.5,5.5,15.0,82.0,62.0,8.0,0.0,25.79,13.57,23.83,8.97,2.96,59.0,1.27
PI_564163,64.0,39.2,4.89,N,11.0,52.9,581.9,29.5,3.6,12.0,88.0,65.0,6.5,0.0,20.03,8.72,26.47,6.13,2.51,54.0,1.37
PI_533955,59.0,52.6,7.16,N,13.0,49.7,646.1,38.0,4.6,12.0,80.0,65.0,5.5,0.33,21.85,10.26,23.53,7.12,3.88,61.67,1.7000000000000002
PI_533752,62.0,43.8,5.8,N,15.0,42.8,642.0,44.5,7.3,11.0,90.0,72.0,8.8,0.0,25.99,12.84,28.97,9.58,2.65,65.0,2.4
PI_533878,58.0,52.6,6.09,N,5.0,41.4,207.0,29.2,4.7,13.0,58.0,50.0,5.0,0.33,27.71,10.18,16.73,7.97,3.11,75.0,1.77
PI_595702,63.0,41.8,2.92,N,16.0,27.3,436.8,28.5,3.3,11.0,142.0,45.0,5.5,0.67,18.8,7.66,17.87,4.58,1.76,51.67,1.4
PI_533985,67.0,56.0,5.2,N,11.0,42.7,469.70000000000005,20.5,4.3,13.0,248.0,47.5,7.5,0.0,19.86,8.31,13.7,5.81,3.61,78.67,1.63
PI_533855,64.0,41.6,9.91,N,22.0,16.3,358.6,35.0,4.6,8.0,142.0,57.0,7.0,0.33,18.98,8.39,14.47,5.22,3.46,26.67,4.07
